ID,duration,path,wav_format,wav_opts,spk_id,spk_id_format,spk_id_opts,phn_format,phn_opts,wrd,wrd_format,wrd_opts,starts,ends,phonemes_61,phonemes_39
mtpg0_sx213,2.4768125,train/dr3/mtpg0/sx213.wav,wav,,mtpg0,string,,string,,the news agency hired a great journalist,string,,0 2088 2450 3634 4595 7640 8290 10610 11410 12870 14380 15791 17840 19718 21765 22400 24160 25280 25680 26386 27800 29340 29810 31916 32292 34339 35000 36600 37370 37720,2088 2450 3634 4595 7640 8290 10610 11410 12870 14380 15791 17840 19718 21765 22400 24160 25280 25680 26386 27800 29340 29810 31916 32292 34339 35000 36600 37370 37720 39600,h# dh ih n ux z ey jh en s iy hh ay er dx ax gcl g r ey tcl jh er nx el ax s tcl t h#,sil dh ih n uw z ey jh n s iy hh ay er dx ah sil g r ey sil jh er n l ah s sil t sil
mtpg0_si2013,1.9904375,train/dr3/mtpg0/si2013.wav,wav,,mtpg0,string,,string,,they were already swollen to bursting,string,,0 2220 2490 3592 4428 5890 8020 9000 10193 11000 11400 12700 14161 14997 15749 16877 17921 18640 19342 20410 21000 21720 22740 23010 25000 25720 26440 26900 27817 28323,2220 2490 3592 4428 5890 8020 9000 10193 11000 11400 12700 14161 14997 15749 16877 17921 18640 19342 20410 21000 21720 22740 23010 25000 25720 26440 26900 27817 28323 31840,h# dh ix w axr ao l r eh dx iy s epi w ow l ax n tcl t ax bcl b er s tcl t iy ng h#,sil dh ih w er aa l r eh dx iy s sil w ow l ah n sil t ah sil b er s sil t iy ng sil
mtpg0_sx303,2.45125,train/dr3/mtpg0/sx303.wav,wav,,mtpg0,string,,string,,the bluejay flew over the high building,string,,0 3030 3360 4280 5500 5669 6349 7880 8760 9410 12280 14360 14830 16250 17720 18882 19968 20820 22520 23490 26120 27030 27170 28365 29201 29789 30000 30960 31456,3030 3360 4280 5500 5669 6349 7880 8760 9410 12280 14360 14830 16250 17720 18882 19968 20820 22520 23490 26120 27030 27170 28365 29201 29789 30000 30960 31456 39200,h# dh ix bcl b l ux dcl jh ey f l uw ow v axr dh iy hh ay bcl b ih l dcl d ix ng h#,sil dh ih sil b l uw sil jh ey f l uw ow v er dh iy hh ay sil b ih l sil d ih ng sil
mtpg0_sx393,2.489625,train/dr3/mtpg0/sx393.wav,wav,,mtpg0,string,,string,,she uses both names interchangeably,string,,0 2860 4400 5514 6433 8020 8830 9942 10840 12360 12600 14840 15294 16179 17480 20511 21500 23110 24034 24707 25400 25900 27480 28250 29296 31034 31458 32041 32279 32840 33680 34040 34653 35880,2860 4400 5514 6433 8020 8830 9942 10840 12360 12600 14840 15294 16179 17480 20511 21500 23110 24034 24707 25400 25900 27480 28250 29296 31034 31458 32041 32279 32840 33680 34040 34653 35880 39760,h# sh iy y ux z ih z bcl b ow th epi n ey m z pau q ih nx er tcl ch ey n dcl jh ax bcl b l iy h#,sil sh iy y uw z ih z sil b ow th sil n ey m z sil ih n er sil ch ey n sil jh ah sil b l iy sil
mtpg0_si753,3.929625,train/dr3/mtpg0/si753.wav,wav,,mtpg0,string,,string,,make a paste of brown sugar and mustard and spread lightly over scored surface,string,,0 2200 2526 3800 4450 4970 6140 7310 7730 9880 10640 10880 11320 12073 12616 13550 13950 14746 17086 18088 19590 20920 21500 23519 24440 25232 26520 28290 28800 29200 29640 31122 31707 32640 33460 34280 35000 35330 35860 36920 37389 38920 40520 41269 42857 44160 45120 46190 47720 48410 48960 50813 51800 52800 54310 56360 57920 58710 60720,2200 2526 3800 4450 4970 6140 7310 7730 9880 10640 10880 11320 12073 12616 13550 13950 14746 17086 18088 19590 20920 21500 23519 24440 25232 26520 28290 28800 29200 29640 31122 31707 32640 33460 34280 35000 35330 35860 36920 37389 38920 40520 41269 42857 44160 45120 46190 47720 48410 48960 50813 51800 52800 54310 56360 57920 58710 60720 62800,h# m ey kcl k ey pcl p ey s tcl t ax v bcl b r aw n sh uh gcl axr ix n m ah s tcl t axr dx ix n s pcl p r eh dx l ay l ih ow v axr s kcl k ao r dcl s er f ax-h s h#,sil m ey sil k ey sil p ey s sil t ah v sil b r aw n sh uh sil er ih n m ah s sil t er dx ih n s sil p r eh dx l ay l ih ow v er s sil k aa r sil s er f ah s sil
mtpg0_si1383,3.7568125,train/dr3/mtpg0/si1383.wav,wav,,mtpg0,string,,string,,how much and how many profits could a majority take out of the losses of a few,string,,0 2200 2930 4845 6181 8229 8786 9680 10569 11195 12240 14120 15024 15304 15554 16920 18150 19050 19699 21000 22090 22805 23250 24299 25220 25800 26200 26600 27404 28574 29214 30190 30870 32459 33160 33560 35000 35890 36500 37960 38620 39080 41000 41480 42459 43580 44214 45300 47480 48930 49638 50470 51240 51800 52840 55000 55933 57800,2200 2930 4845 6181 8229 8786 9680 10569 11195 12240 14120 15024 15304 15554 16920 18150 19050 19699 21000 22090 22805 23250 24299 25220 25800 26200 26600 27404 28574 29214 30190 30870 32459 33160 33560 35000 35890 36500 37960 38620 39080 41000 41480 42459 43580 44214 45300 47480 48930 49638 50470 51240 51800 52840 55000 55933 57800 60080,h# hh aw m ah tcl ch ix n hv aw m ax nx iy pcl p r aa f ax tcl s kcl k uh dx ax m ax dcl jh ao axr dx iy tcl t ey kcl k ae dx ah dh ax l ao s ix z ax v ax f y ux h#,sil hh aw m ah sil ch ih n hh aw m ah n iy sil p r aa f ah sil s sil k uh dx ah m ah sil jh aa er dx iy sil t ey sil k ae dx ah dh ah l aa s ih z ah v ah f y uw sil
mtpg0_sx33,2.4064375,train/dr3/mtpg0/sx33.wav,wav,,mtpg0,string,,string,,coconut cream pie makes a nice dessert,string,,0 3290 3930 5240 5990 6350 6760 7240 9160 10480 11480 12133 13440 14161 15370 15960 19320 20080 21200 21710 22810 23979 25065 27730 28730 29800 29990 31110 32610 35240 36860,3290 3930 5240 5990 6350 6760 7240 9160 10480 11480 12133 13440 14161 15370 15960 19320 20080 21200 21710 22810 23979 25065 27730 28730 29800 29990 31110 32610 35240 36860 38480,h# k ow kcl k ax n ah tcl k r iy m pcl p ay m ey kcl s ax n ay s dcl d ax z er tcl h#,sil k ow sil k ah n ah sil k r iy m sil p ay m ey sil s ah n ay s sil d ah z er sil sil
mtpg0_sx123,2.592,train/dr3/mtpg0/sx123.wav,wav,,mtpg0,string,,string,,a screwdriver is made from vodka and orange juice,string,,0 2280 2776 3770 5010 6000 6516 7018 8120 8440 9065 11028 12031 13326 13869 14621 15916 17921 19550 20123 21694 22374 22767 24856 26067 26527 27822 28699 30746 31958 33000 34046 34631 35690 37860 39070,2280 2776 3770 5010 6000 6516 7018 8120 8440 9065 11028 12031 13326 13869 14621 15916 17921 19550 20123 21694 22374 22767 24856 26067 26527 27822 28699 30746 31958 33000 34046 34631 35690 37860 39070 41440,h# q ey s kcl k r ux dcl r ay v axr ix z m ey f r em epi v aa dcl k eh n ao axr n jh dcl jh ux s h#,sil ey s sil k r uw sil r ay v er ih z m ey f r m sil v aa sil k eh n aa er n jh sil jh uw s sil
mapv0_si1293,4.8704375,train/dr3/mapv0/si1293.wav,wav,,mapv0,string,,string,,these curves were derived by an analysis of extensive skywave measurement data,string,,0 2250 2680 4120 5680 6970 7730 11400 12370 13326 14440 15500 15780 16543 18005 20887 21389 23077 23350 25733 27822 29201 29953 30840 31720 34046 34966 35830 37810 39090 40560 41720 43160 44040 45060 45280 46960 47590 47860 49044 49490 50170 51110 51840 52804 54960 55880 56210 58520 60442 62196 62663 64375 66214 67467 68135 69013 69848 70516 71810 72030 73960 74440 75800,2250 2680 4120 5680 6970 7730 11400 12370 13326 14440 15500 15780 16543 18005 20887 21389 23077 23350 25733 27822 29201 29953 30840 31720 34046 34966 35830 37810 39090 40560 41720 43160 44040 45060 45280 46960 47590 47860 49044 49490 50170 51110 51840 52804 54960 55880 56210 58520 60442 62196 62663 64375 66214 67467 68135 69013 69848 70516 71810 72030 73960 74440 75800 77920,h# dh iy z kcl k er z w axr dcl d ix r ay v dcl b ay q eh n ix n ae l ax s ix s ax v ix kcl k s tcl t eh n epi s ix v s kcl k ay w ey v m eh zh axr m ax n tcl d ey dx ax h#,sil dh iy z sil k er z w er sil d ih r ay v sil b ay eh n ih n ae l ah s ih s ah v ih sil k s sil t eh n sil s ih v s sil k ay w ey v m eh sh er m ah n sil d ey dx ah sil
mapv0_sx213,3.0848125,train/dr3/mapv0/sx213.wav,wav,,mapv0,string,,string,,the news agency hired a great journalist,string,,0 2270 2590 3550 4520 7150 8320 10903 11950 12760 13530 14950 16920 18250 19885 21280 21870 22100 24040 25232 26330 27380 29480 33378 34140 36120 36600 37514 38360 40230 42120 42810 43800,2270 2590 3550 4520 7150 8320 10903 11950 12760 13530 14950 16920 18250 19885 21280 21870 22100 24040 25232 26330 27380 29480 33378 34140 36120 36600 37514 38360 40230 42120 42810 43800 49280,h# dh ix n ux z ey zh ix n s iy hv ay axr dcl d ey gcl g r ey tcl jh er nx ax l ix s tcl t h#,sil dh ih n uw z ey sh ih n s iy hh ay er sil d ey sil g r ey sil jh er n ah l ih s sil t sil
